,host,app,app count,Forcepoint ThreatSeeker,sophos,Comodo Valkyrie Verdict,BitDefender,alphaMountain.ai,Webroot,Dr.Web,Websense ThreatSeeker,Alexa,TrendMicro
101,c2.gdt.qq.com,"""{'com.qihoo.magic'", 'com.lexun99.ling',search engines and portals,,,portals,,,,,,
102,lf.snssdk.com,"""{'com.sup.android.superb'", 'com.dragon.read',entertainment,entertainment,media sharing,,,,,,,
103,cc-api-data.adobe.io,"""{'com.adobe.psmobile'", 'com.adobe.scan.android',information technology,information technology,,misc,,,,,,
104,bjuser.jpush.cn,"""{'com.huanqiu.news'", 'com.ifeng.newvideo',business and economy,information technology,,,,,,,,
105,push.meitu.com,"""{'com.commsource.beautyplus.apk'", 'com.meitu.meipaimv',,,,,,,,,,
106,tracker-api.my.com,"""{'ru.mail'", 'com.deliveryclub',games,portal sites,media sharing,games,,,,,,
107,sentry.io,"""{'com.checknomer.android'", 'com.ewa.ewaapp',information technology,information technology,,computersandsoftware,"Business/Economy, Information Technology",,,,,
108,utop.umengcloud.com,"""{'com.neusoft.app.beijingevening.phone'", 'com.feilu.glorypp',information technology,information technology,,,,,,,,
109,tangram.e.qq.com,"""{'com.tencent.gallerymanager'", 'com.tencent.weishi',search engines and portals,portal sites,,portals,,,,,,
110,cloud.tgpa.qq.com,"""{'com.qeeyou.app.accelerator'", 'com.tencent.djcity',,,,,,,,,,
111,search.mgc-games.com,"""{'com.forever.browser'", 'com.qeeyou.app.accelerator',,,,,,,,,,
112,conf.1look.tv,"""{'rwy.baoan.netsupervisor'", 'com.ldzs.zhangxin',,,media sharing,,,,,,,
113,yun.tim.qq.com,"""{'com.nyato.client'", 'com.example.dudian.dudian',search engines and portals,portal sites,search engines & portals,portals,,Internet Portals,,,,
114,raddus.bayescom.com,"""{'com.violationquery'", 'com.shiqichuban.android',information technology,advertisements,media sharing,,,,,,,
115,lbs.netease.im,"""{'com.sheyi.mm'", 'com.dajiazhongyi.dajia',information technology,information technology,,business,,,,,,
116,api.m.jd.com,"""{'com.bijiago.app'", 'com.jdcloud.mt.smartrouter',shopping,online shopping,,onlineshop,,,,,,
117,kkad.youzhi.net,"""{'com.kk.dict.dictkx'", 'com.kk.poem.ts300',search engines and portals,search engines,,,,,,,,
118,api.uca.cloud.unity3d.com,"""{'com.canvas.car.crash.beam.car.jump.arena'", 'com.cs.bmwi.speeddrifter',,,,,,,,,,
119,acs.m.taobao.com,"""{'com.taobao.movie.android'", 'com.taobao.idlefish',,,,,,,,,,
120,ichannel.snssdk.com,"""{'com.ss.android.article.lite'", 'com.smartisan.reader',,,,,,,,,,
121,stats.mlinks.cc,"""{'cn.xingread.free'", 'com.shanxidaily.activity',,,,,,,,,,
122,ce3e75d5.jpush.cn,"""{'com.huanqiu.news'", 'com.ifeng.newvideo',business and economy,information technology,,,,,,,,
123,mapi.fusion.hoge.cn,"""{'com.hoge.android.app.taizhou'", 'com.hoge.android.app.qpd',,,,,,,,,,
124,adui.tg.meitu.com,"""{'com.meitu.meipaimv'", 'com.meitu.wheecam',,,,,,,,,,
125,androidads20.adcolony.com,"""{'com.kauf.virtuallighter'", 'com.kauf.talking.baum.TalkingPenguandPengaPenguin',,,,,,,,,,
126,mbd.baidu.com,"""{'com.baidu.browser.apps'", 'com.baidu.hao123.apk',search engines and portals,search engines,,searchengines,Search Engines/Portals,,,,,
127,pb.sogou.com,"""{'com.sogou.activity.src'", 'com.sogou.qudu',search engines and portals,search engines,,searchengines,,,,,,
128,data.wsljf.xyz,"""{'com.bd.remote.control'", 'com.zhinengremote.mohan',elevated exposure,,unknown,,,Parked Domains,,,,
129,api.datadashi.com,"""{'com.yuyingdashi.zhangyigen'", 'com.xly.liaotianjiluhuifu',,,media sharing,,,,,,,
130,ssp.1rtb.com,"""{'com.zol.android'", 'com.gonlan.iplaymtg',information technology,information technology,,,,Business and Economy,,,,
131,ynet.da.mgtv.com,"""{'com.shiqichuban.android'", 'com.imlgz.ihuacao.android_gardener',,,,,,,,,,
132,py.da.mgtv.com,"""{'com.shiqichuban.android'", 'com.imlgz.ihuacao.android_gardener',,,,,,,,,,
